date,symbol,actualearningresult,estimatedearning,ticker
2023-04-25,GOOG,1.17,1.06,GOOG
2023-02-02,GOOG,1.05,1.19,GOOG
2022-10-25,GOOG,1.06,1.25,GOOG
2022-07-26,GOOG,1.21,1.3,GOOG
2022-04-26,GOOG,1.23,1.29,GOOG
2022-02-01,GOOG,1.53,1.38,GOOG
2021-10-26,GOOG,1.4,1.17,GOOG
2021-07-27,GOOG,1.36,0.96,GOOG
2021-04-27,GOOG,1.31,0.79,GOOG
2021-02-02,GOOG,1.12,0.8,GOOG
2020-10-29,GOOG,0.82,0.56,GOOG
2020-07-30,GOOG,0.51,0.42,GOOG
2020-04-28,GOOG,0.49,0.52,GOOG
2020-02-03,GOOG,0.77,0.63,GOOG
2019-10-28,GOOG,0.54,0.62,GOOG
2019-07-25,GOOG,0.71,0.57,GOOG
2019-04-29,GOOG,0.6,0.53,GOOG
2019-02-04,GOOG,0.64,0.54,GOOG
2018-10-25,GOOG,0.65,0.52,GOOG
2018-07-23,GOOG,0.59,0.477,GOOG
2018-04-23,GOOG,0.5,0.47,GOOG
2018-02-01,GOOG,0.48,0.498,GOOG
2017-10-26,GOOG,0.48,0.42,GOOG
2017-07-24,GOOG,0.25,0.22,GOOG
2017-04-27,GOOG,0.39,0.37,GOOG
2017-01-26,GOOG,0.47,0.48,GOOG
2016-10-27,GOOG,0.45,0.43,GOOG
2016-07-28,GOOG,0.42,0.4,GOOG
2016-04-21,GOOG,0.38,0.4,GOOG
2016-02-01,GOOG,0.43,0.4,GOOG
2015-10-22,GOOG,0.37,0.36,GOOG
2015-07-16,GOOG,0.35,0.337,GOOG
2014-04-16,GOOG,0.31,0.32,GOOG
2014-01-30,GOOG,0.6,0.62,GOOG
2013-10-17,GOOG,0.54,0.52,GOOG
2013-07-18,GOOG,0.48,0.54,GOOG
2013-04-18,GOOG,0.58,0.53,GOOG
2013-01-22,GOOG,0.53,0.53,GOOG
2012-10-18,GOOG,0.45,0.53,GOOG
