date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
1987-09-29,MMM,0.28,,bmo,2466000000.0,,2025-04-25,1987-09-30,MMM,bmo,False,True
1987-12-30,MMM,0.2512,,bmo,9429000000.0,,2025-04-25,1987-12-31,MMM,bmo,False,True
1988-03-30,MMM,0.31,,bmo,2602000000.0,,2025-04-25,1988-03-31,MMM,bmo,False,True
1988-06-29,MMM,0.34,,bmo,2711000000.0,,2025-04-25,1988-06-30,MMM,bmo,False,True
1988-09-29,MMM,0.33,,bmo,2689000000.0,,2025-04-25,1988-09-30,MMM,bmo,False,True
1988-12-30,MMM,0.3188,,bmo,10581000000.0,,2025-04-25,1988-12-31,MMM,bmo,False,True
1989-03-30,MMM,0.36,,bmo,3017000000.0,,2025-04-25,1989-03-31,MMM,bmo,False,True
1989-06-29,MMM,0.38,,bmo,3025000000.0,,2025-04-25,1989-06-30,MMM,bmo,False,True
1989-09-29,MMM,0.345,,bmo,2994000000.0,,2025-04-25,1989-09-30,MMM,bmo,False,True
1989-12-30,MMM,0.3281,,bmo,2954000000.0,,2025-04-25,1989-12-31,MMM,bmo,False,True
1990-03-30,MMM,0.38,,bmo,3164000000.0,,2025-04-25,1990-03-31,MMM,bmo,False,True
1990-06-29,MMM,0.385,,bmo,3234000000.0,,2025-04-25,1990-06-30,MMM,bmo,False,True
1990-09-29,MMM,0.38,,bmo,3343000000.0,,2025-04-25,1990-09-30,MMM,bmo,False,True
1990-12-30,MMM,0.3336,,bmo,3280000000.0,,2025-04-25,1990-12-31,MMM,bmo,False,True
1991-03-30,MMM,0.345,,bmo,3389000000.0,,2025-04-25,1991-03-31,MMM,bmo,False,True
1991-06-29,MMM,0.34,,bmo,3349000000.0,,2025-04-25,1991-06-30,MMM,bmo,False,True
1991-09-29,MMM,0.34,,bmo,3378000000.0,,2025-04-25,1991-09-30,MMM,bmo,False,True
1991-12-30,MMM,0.2975,,bmo,3224000000.0,,2025-04-25,1991-12-31,MMM,bmo,False,True
1992-03-30,MMM,0.33,,bmo,3406000000.0,,2025-04-25,1992-03-31,MMM,bmo,False,True
1992-06-29,MMM,0.37,,bmo,3504000000.0,,2025-04-25,1992-06-30,MMM,bmo,False,True
1992-12-30,MMM,0.3277,,bmo,3373000000.0,,2025-04-25,1992-12-31,MMM,bmo,False,True
1993-02-03,MMM,0.33,0.33,bmo,3600000000.0,,2025-04-25,1992-09-30,MMM,bmo,False,True
1993-05-03,MMM,0.38,0.37,bmo,3517000000.0,,2025-04-25,1993-03-31,MMM,bmo,False,True
1993-07-30,MMM,0.38,0.38,bmo,3540000000.0,,2025-04-25,1993-06-30,MMM,bmo,False,True
1993-10-27,MMM,0.37,0.37,bmo,3481000000.0,,2025-04-25,1993-09-30,MMM,bmo,False,True
1994-01-28,MMM,0.33,0.34,bmo,3482000000.0,,2025-04-25,1993-12-31,MMM,bmo,False,True
1994-04-27,MMM,0.39,0.37,bmo,3632000000.0,,2025-04-25,1994-03-31,MMM,bmo,False,True
1994-07-27,MMM,0.41,0.4,bmo,3772000000.0,,2025-04-25,1994-06-30,MMM,bmo,False,True
1994-10-24,MMM,0.41,0.4,bmo,3820000000.0,,2025-04-25,1994-09-30,MMM,bmo,False,True
1995-01-25,MMM,0.4,0.4,bmo,3855000000.0,,2025-04-25,1994-12-31,MMM,bmo,False,True
1995-04-24,MMM,0.45,0.44,bmo,4087000000.0,,2025-04-25,1995-03-31,MMM,bmo,False,True
1995-07-26,MMM,0.42,0.46,bmo,4135000000.0,,2025-04-25,1995-06-30,MMM,bmo,False,True
1995-10-25,MMM,0.41,0.42,bmo,4069000000.0,,2025-04-25,1995-09-30,MMM,bmo,False,True
1996-02-05,MMM,0.38,0.38,bmo,1169000000.0,,2025-04-25,1995-12-31,MMM,bmo,False,True
1996-05-02,MMM,0.44,0.44,bmo,3468000000.0,,2025-04-25,1996-03-31,MMM,bmo,False,True
1996-07-29,MMM,0.46,0.45,bmo,3522000000.0,,2025-04-25,1996-06-30,MMM,bmo,False,True
1996-10-25,MMM,0.48,0.46,bmo,3623000000.0,,2025-04-25,1996-09-30,MMM,bmo,False,True
1997-01-28,MMM,0.45,0.44,bmo,3623000000.0,3540659090.0,2025-04-25,1996-12-31,MMM,bmo,False,True
1997-04-22,MMM,0.5,0.49,bmo,3714000000.0,3639720000.0,2025-04-25,1997-03-31,MMM,bmo,False,True
1997-07-23,MMM,0.51,0.51,bmo,3817000000.0,3817000000.0,2025-04-25,1997-06-30,MMM,bmo,False,True
1997-10-22,MMM,0.53,0.52,bmo,3826000000.0,3753811320.0,2025-04-25,1997-09-30,MMM,bmo,False,True
1998-01-27,MMM,0.45,0.46,bmo,3713000000.0,3793717391.0,2025-04-25,1997-12-31,MMM,bmo,False,True
1998-04-28,MMM,0.49,0.5,bmo,3700000000.0,3775510204.0,2025-04-25,1998-03-31,MMM,bmo,False,True
1998-07-23,MMM,0.48,0.46,bmo,3770000000.0,3612916666.0,2025-04-25,1998-06-30,MMM,bmo,False,True
1998-10-22,MMM,0.49,0.49,bmo,3766000000.0,3766000000.0,2025-04-25,1998-09-30,MMM,bmo,False,True
1999-01-25,MMM,0.43,0.4,bmo,3785000000.0,3501125000.0,2025-04-25,1998-12-31,MMM,bmo,False,True
1999-04-30,MMM,0.48,0.46,bmo,3776000000.0,3618666666.0,2025-04-25,1999-03-31,MMM,bmo,False,True
1999-07-29,MMM,0.52,0.5,bmo,3863000000.0,3714423076.0,2025-04-25,1999-06-30,MMM,bmo,False,True
1999-10-25,MMM,0.57,0.53,bmo,3997000000.0,3716508771.0,2025-04-25,1999-09-30,MMM,bmo,False,True
2000-01-26,MMM,0.55,0.51,bmo,4023000000.0,3707470588.0,2025-04-25,1999-12-31,MMM,bmo,False,True
2000-04-25,MMM,0.56,0.54,bmo,4052000000.0,3929464285.0,2025-04-25,2000-03-31,MMM,bmo,False,True
2000-07-26,MMM,0.59,0.58,bmo,4224000000.0,4171084745.0,2025-04-25,2000-06-30,MMM,bmo,False,True
2000-10-23,MMM,0.63,0.61,bmo,4252000000.0,4134444444.0,2025-04-25,2000-09-30,MMM,bmo,False,True
2001-01-24,MMM,0.56,0.6,bmo,4196000000.0,4475733333.0,2025-04-25,2000-12-31,MMM,bmo,False,True
2001-04-23,MMM,0.58,0.58,bmo,4170000000.0,4164000000.0,2025-04-25,2001-03-31,MMM,bmo,False,True
2001-07-23,MMM,0.56,0.56,bmo,4079000000.0,4073000000.0,2025-04-25,2001-06-30,MMM,bmo,False,True
2001-10-22,MMM,0.55,0.55,bmo,3967000000.0,3961000000.0,2025-04-25,2001-09-30,MMM,bmo,False,True
